ZipCode,Yelp_Restaurant_Count,Yelp_Avg_Rating,Yelp_Avg_Review_Count,Num_Thai,Num_Coffee,Num_FastFood,Num_Japanese,Num_Italian,Num_American,Num_Bars,Num_HighEnd_Price4
20715,46,2.65,66.9,4,17,18,4,10,7,4,0
22720,0,0.0,0.0,0,0,0,0,0,0,0,0
22738,1,0.0,0.0,0,0,0,0,0,0,0,0
20850,36,2.93,142.6,5,17,9,2,6,6,5,0
20874,2,2.35,24.0,0,0,1,0,0,0,1,0
22627,0,0.0,0.0,0,0,0,0,0,0,0,0
20602,14,1.27,4.7,1,2,0,0,2,1,0,0
20816,21,3.11,67.0,2,13,2,2,5,2,2,0
20904,24,2.2,68.3,2,7,11,1,3,5,1,0
22192,19,3.06,57.5,3,10,4,1,4,3,1,0
20880,26,3.08,59.6,0,7,4,0,2,2,2,0
20151,104,3.69,222.8,11,35,38,8,12,21,9,0
22203,155,3.91,498.6,11,67,34,7,23,38,21,0
20018,115,3.8,144.8,1,38,12,2,23,24,27,1
22640,0,0.0,0.0,0,0,0,0,0,0,0,0
20625,4,2.67,52.5,0,0,0,0,0,1,0,0
20020,74,3.43,34.6,0,21,9,2,6,13,2,0
22046,117,3.92,354.7,14,48,25,8,23,27,16,0
20770,30,2.58,57.5,1,16,7,1,3,7,5,0
22204,110,3.67,290.7,14,38,29,6,17,21,21,0
22305,127,3.76,278.4,7,53,21,3,30,32,28,0
22718,0,0.0,0.0,0,0,0,0,0,0,0,0
20744,24,2.45,58.6,2,4,9,0,4,3,4,0
22030,18,3.67,190.8,2,5,2,2,5,1,0,0
20143,0,0.0,0.0,0,0,0,0,0,0,0,0
20832,53,3.29,127.1,5,19,19,3,8,13,6,0
22554,1,5.0,1.0,0,0,0,0,0,0,0,0
22663,0,0.0,0.0,0,1,0,0,0,0,1,0
20169,2,4.5,1.0,0,1,0,0,0,0,0,0
20012,70,3.47,73.1,1,27,8,0,7,11,20,0
20895,32,3.45,117.9,2,23,6,3,7,10,4,0
22151,11,3.4,117.0,1,8,4,1,3,3,2,0
22714,0,0.0,0.0,0,0,0,0,0,0,1,0
20902,147,3.69,176.8,13,40,27,5,9,16,17,0
22180,94,3.92,308.5,15,48,19,8,27,21,13,0
20720,8,3.31,157.2,1,4,3,1,0,3,1,0
22003,42,2.53,186.1,5,8,6,9,2,2,2,0
22025,22,3.15,95.7,2,8,9,1,5,7,2,0
21778,0,0.0,0.0,0,0,0,0,0,0,0,0
20772,0,0.0,0.0,0,0,0,0,0,0,0,0
22747,3,4.47,313.3,0,1,0,0,0,3,0,1
22026,0,0.0,0.0,0,0,0,0,0,0,0,0
20737,26,2.33,14.4,0,7,4,0,1,2,2,0
20912,124,3.55,146.1,6,39,15,5,14,15,19,0
22407,31,2.7,33.8,2,8,15,0,4,7,2,0
20866,30,3.0,123.0,1,15,13,1,6,8,3,0
20693,0,0.0,0.0,0,0,0,0,0,0,0,0
21704,5,2.7,64.0,0,0,1,0,1,1,1,0
20639,2,4.15,27.5,0,2,0,0,1,1,0,0
20714,3,2.63,177.0,0,1,0,0,0,2,0,0
20854,0,0.0,0.0,0,0,0,0,0,0,0,0
20646,0,0.0,0.0,0,0,0,0,0,0,0,0
20878,74,3.68,191.9,13,40,20,6,16,17,7,0
22406,0,0.0,0.0,0,0,0,0,0,0,0,0
22740,0,0.0,0.0,0,0,0,0,0,0,0,0
20121,8,2.9,18.8,0,7,1,0,0,4,4,0
20176,0,0.0,0.0,0,0,0,0,0,0,0,0
22736,0,0.0,0.0,0,0,0,0,0,0,0,0
20187,0,0.0,0.0,0,0,0,0,0,0,0,0
22102,7,2.27,18.0,0,3,1,0,0,3,1,0
20882,0,0.0,0.0,0,0,0,0,0,0,0,0
22724,0,0.0,0.0,0,0,0,0,0,0,0,0
22312,64,3.55,157.8,7,21,12,5,2,9,11,0
20132,0,0.0,0.0,0,0,0,0,0,0,0,0
20608,0,0.0,0.0,0,0,0,0,0,0,0,0
20011,139,3.8,138.4,2,40,10,4,18,23,36,0
20706,47,2.48,36.2,2,8,11,1,5,8,2,0
22181,1,0.0,0.0,0,0,0,0,0,0,0,0
